id,text,label
1,"They could be vulnerable to hacking. All of these extended peripherals are less secure in general."" --@CNET's @jetscott on privacy concerns",Human
2,"First Data on holiday sales:  total sales up 3.6% YOY.  Brick & mortar up 1.6%, eCommerce up 12%. eCommerce now 21.3% of total sales!",Human
3,Amazon once again dominated the holidays.  Excited for Salesforce @CommerceCloud to help our customers to digitally transform their retail.,Human
4,"BREAKING: Amazon explores possible premium sports package w/ Prime membership; has held talks w/NBA, MLB, NFL, MLS for live game rights - DJ",Human
5,"@Amazon's growth is undeniable, agrees @retailwizard. It is projected to be the top #apparel #retailer in the US in 2017 #CWBricksvsClicks",Human
6,"Spicer says Amazon will create 10,000 jobs in the U.S. Trump takes credit: ""Pres-elect was pleased to play a role in that decision.""",Human
7,Amazon is The best b/c they learned to be good. Grinding on low margin 20 yrs teaches lessons immediate success can't. #CBIsummit @chamath,Human
8,"It's time for #NameThatStock. First clue: this company, which will soon turn 21, originally had a magical name in mind. #CheddarLIVE",Human
9,Just remember everyone: the internet is all built on servers by a company that recommends you 10 different socks after you just bought socks,Human
10,"@Fahrenthold curious what you think about @JeffBezos continuing to advertise @amazon on Breitbart, funding bigotry & anti-media sentiment?",Human
11,Here's what we are going over in our #options class RIGHT NOW! Thank you @DavieMac1234 for putting this on! #stocks #trading #ascendtrading,Human
12,Even Anti-Trump Chris Wallace says Obama & Dims orchestrated #Sessions controversy to deflect from Donand Trump Momentum!! #ThursdayThoughts,Human
13,"Today is Amazon's 211th all-time high. Since its IPO, it's up 35,000%. Over the same time the S&P 500 has had 286 new highs & is up 182%.",Human
14,April Fools' Day has become much more complicated now that Musk is connecting brains to computers and Bezos is designing flying warehouses.,Human
15,"Amazon did not just buy Whole Foods grocery stores. It bought 431  upper-income, prime-location distribution nodes for everything it does.",Human
16,"Jeff Bezos: ""Alexa, buy me something from Whole Foods.""Alexa: ""Sure, Jeff. Buying Whole Foods now.""Jeff Bezos: ""WHA- ahh go ahead.""",Human
17,"After going public, it took Amazon 18 years to catch Walmart in market value but less than two additional years to be worth twice as much!",Human
18,The people approve!! The media slandering you can be found on the blue areas! They will find something wrong with you finding cancer cure,Human
19,"WH source with direct knowledge just told me @washingtonpost didn't talk to ANY U.S. official at mtg w/ Lavrov. ""It's Fake News""",Human
20,55% of households have @amazon prime. More than the % of homes (50 %) that have landlines...more than # that go to church once a month.,Human
21,"This is AMZN log-regressed from a moving avg cross of 2002, 15yrs ago... AMZN is just 1SD elevated off trend 2SD south is ~450 @amazon",Human
22,"With this data, Amazon won't be able to just sell you clothes or judge you. It could analyze if you're depressed or pregnant and much else.",Human
23,That's the most tired argument of all time. Amzn has been cash flow positive for 15+ years. Plus it's a completely different business model,Human
24,Perhaps deep -- but no water and no crocodiles. Purely a momentum play at this point; one of the biggest shorts ever just waiting to happen.,Human
